nodes.female,keep
h8_1_1,0
v784a_1,0
hv109_04_3,0
hv109_07_3,0
hv109_09_5,0
hv113_07_1,0
hv122_03_0,0
hv122_04_0,0
hw17_1,0
hw18_1,0
v602_4,0
v3a00a_1,0
v3a00b_1,0
m43_1_1,0
h34_1_1,0
v744a_1,0
hv120_02_1,0
v016,0
v005,0
mm4_03,0
v161_1,0
v128_97,0
hv116_0,0
hml18_1,0
v213_0,0
v463a_1,0
v625_0,0
mm1_07_2,0
mm2_07_1,0
hv109_05_3,0
hv109_06_3,0
hv109_08_1,0
hv121_02_2,0
hv121_03_2,0
hv121_04_2,0
hv122_05_0,0
hv122_06_0,0
v437,0
v438,0
v531,0
v627,0
v123_0,0
m54_1_1,0
hw15_1_2,0
v762ax_1,0
v115,0
hv105_01,0
mm4_04,0
mm4_05,0
v116_96,0
v128_31,0
v128_32,0
v129_11,0
ml101_0,0
ml101_1,0
ml101_3,0
v3a08b_1,0
m57e_1_1,0
v784b_1,0
v828_1,0
hv109_06_1,0
hv109_09_1,0
hv116_01_0,0
hv116_02_0,0
hv116_03_0,0
hv116_04_0,0
hv116_05_0,0
hv121_05_2,0
hv121_06_2,0
hv121_07_2,1
hv122_07_0,0
hv121_08_2,0
v029,0
v439,0
v440,0
v441,0
v442,0
v443,0
v444a,0
v444,0
v445,0
v446,0
v127_35,0
v447_0,0
v313_1,0
v777_1,0
bord_05,0
h2y_1,0
b2_05,0
b3_05,0
b12_05,0
mm4_06,0
v127_96,0
hv121_2,0
v139_6,0
v168_1,0
b0_05_1,0
b4_05_2,0
b5_05_1,0
v3a08c_1,0
m2g_1_1,1
m55c_1_1,0
h11_1_2,0
v626_2,0
v714a_0,0
v714a_1,0
v731_3,1
v763a_1,0
hv109_07_1,0
hv113_08_1,0
hv122_01_0,0
v508,0
v529,0
hw56_1,0
v106_0,0
v447_6,0
hw55_1_1,0
v3a00k_1,0
v744c_1,0
hv122_08_0,0
v150_7,0
v152,0
hml13,1
v113_51,0
v127_32,0
v128_12,0
v128_21,0
v128_22,0
v128_33,0
hv116_1,0
v307_03_1,0
v312_3,1
v307_05_1,0
v3a08p_1,0
v3a08x_1,0
m57g_1_1,0
v467b_2,1
v467c_2,1
v467d_2,1
v840_1,0
v161_2,0
v454_0,0
v452a_2,0
v762ac_1,0
v762ae_1,0
hv120_09_1,0
v018,0
v019,0
v030,0
hml16_09,0
v024_6,0
v139_7,0
hv247_1,0
hv113_1,0
v304_13_1,0
v307_01_1,0
v312_1,1
v312_5,0
v3a08a_1,0
v3a08f_1,1
v467f_2,1
v624_0,0
v751_0,0
hv109_05_1,0
hv116_03_1,0
hv116_04_1,0
hv116_05_1,0
hml18_02_1,0
hml19_02_1,0
hml19_03_1,0
hml19_04_1,0
hml19_05_1,0
hml19_06_1,0
hml19_08_1,0
ha5,0
v456,0
hw55_1_7,0
v762au_1,0
hv243b_1,0
v502_1,0
v040,0
mm4_07,0
v024_7,0
v128_96,0
v161_5,0
hv237_1,0
hv244_1,0
hv246_1,0
v014_1,0
v014_3,0
v3a08d_1,0
m57m_1_1,0
hv109_09_3,0
hv116_01_1,0
hv116_02_1,0
hv122_09_0,0
hml10_1_1,0
hml19_07_1,0
v211,0
ha56,0
mm3_07,0
m55a_1_1,0
v744e_1,0
v116_23,0
v129_32,0
hv012,0
v107,0
v113_71,0
v113_96,0
v127_31,0
v128_11,0
v128_34,0
v129_34,0
v106_3,0
hv111_1,0
hml19_1,0
v307_08_1,0
v313_3,0
v3a08i_1,0
v3a08j_1,0
hv111_09_1,0
hv121_09_2,0
v806,0
v032,0
h4y_1,0
h6y_1,0
v454_1,0
v3a00j_1,0
h0y_1,0
b8_05,0
v116_12,0
v129_35,0
v161_9,0
hv237b_1,0
hml12_1,0
hml12_3,0
b9_05_4,0
v3a08m_1,0
m49a_1_1,0
v838a_1,0
v839_1,0
v812_2,0
hv109_10_0,0
hml21_1_1,0
hml18_03_1,0
hml19_01_1,0
v453,0
h3y_1,0
h5y_1,0
v455_0,0
v457_4,0
hw73_1,0
hml3_1_1,0
v128_23,0
v129_12,0
ha68_0,0
v307_09_1,0
v3a08h_1,0
m3k_1_1,0
v838c_1,0
hv102_10_1,0
hv104_10_2,0
hv109_04_1,0
hv117_10_1,0
hv118_10_1,0
v031,0
h4m_1,0
v161_6,0
v106_1,0
v762at_1,0
v762ba_1,0
v762bz_1,0
v127_21,0
ha69,0
h0m_1,0
v139_9,0
v116_13,0
v128_13,0
v129_21,0
v129_96,0
v150_12,0
m62_1_1,0
v414e_1,0
v414f_1,0
v414j_1,0
v784c_1,0
v784k_1,0
v838b_1,0
v813_2,0
hv121_01_2,1
hv035,0
h4d_1,0
h6d_1,0
v536_0,0
v127_12,0
v447_4,0
hw13_1_7,0
m49z_1_1,0
m55e_1_1,0
v463c_1,0
v762bb_1,0
v501_0,0
hv116_06_0,0
hv121_01_0,0
v024_9,0
v113_61,0
v364_2,0
v3a08l_1,0
v3a08n_1,0
m66_1_1,0
v411_1,0
v414i_1,0
v414l_1,0
hv103_10_1,0
hml10_2_1,0
hml19_09_1,0
h6m_1,0
hv109_3,0
v455_4,0
m50_1_1,0
v762an_1,0
v762bk_1,0
hw71_1,0
hw72_1,0
v128_35,0
v129_22,0
v850a_1,0
hv116_06_1,0
v006,0
v762af_1,0
v139_10,0
v129_33,0
hv243c_1,0
v3a08e_1,0
m55x_1_1,0
v414g_1,0
v414n_1,0
v414o_1,0
v463d_1,0
v481_1,0
hv109_03_3,0
hv109_10_5,0
hml19_03_0,0
hml19_04_0,0
hml18_04_1,0
m55g_1_1,0
v762al_1,0
v769_1,0
hw70_1,0
v307_02_1,0
v312_2,1
h2_1_1,1
v762ad_1,0
hml16_10,0
v024_10,0
v116_14,0
v129_23,0
hw13_2_1,0
v3a08t_1,0
m3g_2_1,0
m60_1_1,0
m70_1_1,0
v409_1,0
v413_1,0
v414h_1,0
v414k_1,0
v414s_1,0
v626_9,0
hv109_10_3,0
hml19_05_0,0
hml19_08_0,0
hml17_05_1,0
hml17_06_1,0
h7y_1,0
v141_7,0
v3a00c_1,0
v3a00s_1,0
v762ao_1,0
h4_1_2,0
h5_1_2,0
h43_1_1,0
v605_3,1
v744d_1,0
mm1_08_2,0
mm2_08_1,0
v762am_1,0
v317,0
hv235_3,0
v133,0
v802,0
ha32_1,0
ha32_2,0
v113_62,0
v122_0,0
v307_11_1,0
v312_11,1
v3a08q_1,0
v3a08r_1,0
m3b_2_1,0
m3c_1_1,0
v624_9,0
v784d_1,0
v784l_1,0
hv109_03_1,0
hml21_2_1,0
hml19_06_0,0
hml19_07_0,0
hml17_07_1,0
b2_02,0
h8y_1,0
v026_0,0
v141_0,0
v026_1,0
v141_1,0
v237_1,0
m55h_1_1,0
v633b_1,0
v762bc_1,0
v762bs_1,0
hw55_1_0,0
hml7_98,0
hml7_1_98,1
hc17_2,0
hc18_1,0
hc18_2,0
hc17_1,0
hc31_1,0
hc32_1,0
hc31_2,0
hc32_2,0
hc6_1,0
hc6_2,0
hc9_1,0
hc9_2,0
hc12_1,0
hc12_2,0
v762ap_1,0
v007,0
h0d_1,0
v161_3,0
hv237a_1,0
v312_8,1
v3a08s_1,0
m2c_1_1,0
m38_1_1,0
v411a_1,0
v815a_1,0
hv109_10_1,0
hv113_09_1,0
hv122_10_0,0
hml17_08_1,0
hml18_01_1,0
b15_02_1,0
hv120_10_1,0
hw13_1_0,0
v026_2,0
v141_2,0
v161_4,1
hml3_2_1,0
v022,0
m55d_1_1,0
v762av_1,0
hv121_0,1
v150_11,0
v625a_1,1
v307_06_1,0
v3a08k_1,0
v3a08z_1,0
v625a_2,1
v626a_0,1
v626a_3,0
v626a_4,1
v717_0,0
v784x_1,0
d106_1,0
d107_1,0
hv109_9,0
v3a00x_1,0
m42a_1_1,0
v625_3,0
v762bj_1,0
hv109_02_3,0
v766b,0
v161_10,0
v455_6,0
h3_1_2,0
hml7_2_98,0
hc27_1_2,0
hc27_2_2,0
m4_1_95,0
v404_0,1
v128_24,0
hv243d_1,0
hv129_0,0
m3a_2_1,0
m17_2_1,0
v414p_1,0
v843_1,0
d104_1,0
d108_1,0
d111_1,0
d113_1,0
hv121_10_2,0
ha50_1_2,0
ha50_2_2,0
hml8_1_2,0
hml19_02_0,0
hml19_10_1,0
v028,0
h8d_1,0
h8m_1,0
v026_3,0
v141_3,0
v161_96,0
v457_3,0
v3a00l_1,0
v3a00o_1,0
v3a00u_1,0
v762be_1,0
v775_1,0
hv109_11_0,0
hv101_01_1,0
v312_6,1
hml3_3_1,0
hml10_3_1,0
ha5_1,0
ha6_1,0
ha5_2,0
ha6_2,0
ha12_1,0
ha12a_1,0
ha12_2,0
ha12a_2,0
ha40_2,0
ha12b_1,0
ha40_1,0
ha12b_2,0
ha41_1,0
ha41_2,0
v481b_1,0
hc15_2_2,0
ha69_1,0
v478,0
v116_15,0
hv125_1,0
hv126_0,0
hml18_0,0
hml19_0,0
v307_14_1,0
m3h_2_1,0
m3n_2_1,0
m57x_1_1,0
v410_1,0
v412a_1,0
v414m_1,0
v784e_1,0
d101a_1,0
d101b_1,0
d101c_1,0
d101d_1,0
d101e_1,0
d115y_1,0
hv129_02_0,0
hv129_03_0,0
hv129_04_0,0
hv129_05_0,0
hv129_06_0,0
hv129_07_0,0
hml12_07_1,0
hml17_04_1,0
hw11_1,0
hw13_2_7,0
m2k_1_1,0
m55f_1_1,0
hv102_11_1,0
hv103_11_1,0
hv104_11_2,0
hv109_11_3,0
hv113_10_1,0
hv117_11_1,0
hv118_11_1,0
v834a,0
mm4_08,0
v116_41,0
v161_95,0
ha66_0,0
v149_1,0
hml17_3,0
v044_1,0
v625a_0,1
v814_2,0
hv111_10_1,0
hml7_3_98,0
hml21_3_1,0
hv007,0
hv242_1,0
v762bd_1,0
v337,1
m57a_1_1,0
hc0_2,0
hc15_1_2,0
v129_36,0
hv232_1,0
v361_4,0
v626_5,1
v784m_1,1
v841_1,0
v815c_1,0
d108_0,1
d112_1,0
d115c_1,0
hv129_08_0,0
hv125_02_1,0
hv126_02_0,0
hv125_03_1,0
hv125_04_1,0
hv125_05_1,0
hv125_06_1,0
hv125_07_1,0
hv125_08_1,0
ha68_2_0,0
hml8_2_2,0
hml12_06_1,0
hml12_08_1,0
hml19_09_0,0
hml17_03_1,0
ha11,0
m5_1,0
mm8_01,0
hml16_11,0
hv026_3,0
hw55_2_1,0
b15_01_1,0
b15_03_1,0
v3a00f_1,0
v3a00p_1,0
v416_2,0
h6_2_1,0
h34_1_0,0
hw55_1_4,0
v721_2,0
hw8_1,0
v116_43,0
v762ak_9,0
v762as_9,0
v762ax_9,0
v762az_9,0
v778_1,0
hc73_1,0
hc73_2,0
v510_5,0
v762bx_1,0
v463b_1,0
v762aq_1,0
v762aw_1,0
v128_36,0
v762ag_1,0
v762bm_1,0
v762bf_1,1
m19a_2_0,0
ha32_3,0
hml3_1_0,1
v014_2,0
v312_9,0
m57h_1_1,0
v811_2,0
d115b_1,0
d115f_1,0
d115v_1,0
d115x_1,1
d118y_1,0
hv125_09_1,0
hml19_01_0,0
hml12_04_1,0
hml12_05_1,0
hml17_09_1,0
ha13_0,0
bord_06,0
b2_06,0
b3_06,0
b12_06,0
v426,0
ha32_01,0
ha32_02,0
ha50_2,0
v452a_1,0
b0_06_1,0
b4_06_2,0
b5_06_1,0
v305_01_1,0
v305_03_1,0
v305_05_1,0
v305_08_1,0
v305_09_1,0
h4_2_1,0
h5_2_1,0
h6_1_3,0
h7_2_1,0
h8_2_1,0
hv101_02_1,0
hw3_1,0
hv237c_1,0
m49z_1_9,0
m49y_1_1,0
h5_1_1,0
v626a_7,1
v762ab_9,0
v762au_9,0
v780_1,0
hv109_03_9,0
hv109_04_9,0
hv109_08_9,0
hc56_1,0
v784p_1,0
ha1,0
v820_1,0
v3a00e_1,0
m57b_1_1,1
v770a_1,0
hb32_2,0
v116_42,0
v128_26,0
hv230b_1,0
hv232y_1,0
hml20_1,0
m57n_1_1,0
v784f_1,1
v815b_1,0
d115l_1,0
hv126_01_0,0
hv126_03_0,0
hv126_04_0,0
hv126_05_0,0
hv126_06_0,0
ha54_1_1,0
ha54_2_1,0
ha63_1_3,0
ha68_1_0,0
ha68_2_1,0
hml12_03_1,0
hml20_03_0,1
hml20_03_1,0
hml20_01_1,0
hml20_02_1,0
hml20_04_1,0
hml20_05_1,0
hml20_06_1,0
hml20_07_1,0
hml20_08_1,0
ha6_01,0
ha6_02,0
ha12_01,0
ha12a_01,0
ha12b_01,0
ha40_01,0
ha41_01,0
ha12_02,0
ha12a_02,0
ha40_02,0
ha12b_02,0
ha41_02,0
hv122_9,1
v457_1,0
v457_2,0
m42b_1_1,0
m49b_1_1,0
hw55_2_7,0
v767a_2,0
hv122_11_0,0
ha50_02_2,0
m4_1_93,0
ml0_1_3,0
v3a08c_9,0
v3a08d_9,0
v3a08e_9,0
v3a08f_9,0
v3a08g_9,0
v3a08h_9,0
v3a08i_9,0
v3a08j_9,0
v3a08l_9,0
v3a08m_9,0
v3a08n_9,0
v3a08p_9,0
v3a08q_9,0
v3a08s_9,0
v3a08t_9,0
v3a08x_9,0
v3a08z_9,0
m2b_1_9,0
m3k_1_9,0
m3n_1_9,0
m49x_1_9,0
m57e_1_9,0
m57f_1_9,0
m57m_1_9,0
m57x_1_9,0
v626a_2,1
v762aj_9,0
v779_1,0
hv109_01_9,0
hv109_02_9,0
hv109_05_9,0
hv109_06_9,0
hv109_07_9,0
hv109_09_9,0
hv116_07_0,0
hml8_3_2,0
hw19_1,0
hc56_2,0
hc71_1,0
hc72_1,0
hv237f_1,0
v3a00n_1,0
v481d_1,0
v3a00d_1,0
v3a00m_1,0
v784n_1,0
v770_1,0
hc68_1_0,0
hb32_1,0
hv232b_1,0
m39a_1_1,0
v412c_1,0
v833a_1,0
d115g_1,0
hv126_07_0,0
hv126_09_0,0
ha63_2_1,0
ha68_1_1,0
hb65_1_1,1
hb50_1_2,0
hb50_2_2,0
hb68_1_0,0
hb68_2_0,0
hml20_02_0,1
hml20_04_0,1
hml20_05_0,1
hml20_06_0,1
hml20_07_0,1
hml20_08_0,1
hml19_10_0,0
v604_7,0
ha32_03,0
ha56_01,0
ha56_02,0
hc31_01,0
hc32_01,0
hc31_02,0
hc32_02,0
hc56_01,0
hc56_02,0
ha54_1,0
ha57_9,0
v3a00v_1,0
v467g_2,1
h3_2_1,0
hw52_1_2,0
hv109_11_1,0
hv120_11_1,0
hv126_08_0,0
ha50_01_2,0
hw57_1_9,0
hb32_01,1
hb32_02,1
sh17a_1,0
hv116_9,0
hml7_1_16,1
s105_1,0
v3a00b_9,0
v3a00k_9,0
v3a00s_9,0
v3a00u_9,0
v3a00y_9,0
v3a00z_9,0
v3a08b_9,0
v3a08k_9,0
m3b_1_9,0
m3g_1_9,0
m3d_1_1,0
m3h_1_9,0
m55b_1_9,0
m55c_1_9,0
m55d_1_9,0
m55g_1_9,0
m55h_1_9,0
m55x_1_9,0
m55z_1_9,0
v463c_9,0
h4_1_3,0
v605_9,0
v625a_3,1
v729_9,0
v784x_9,0
sh17a_03_1,0
sh17a_04_1,0
hv109_11_5,0
hv116_07_1,0
mm3_08,0
hc71_2,0
hc72_2,0
v762bn_1,0
v784o_1,0
v784g_1,0
ha4,0
v762ao_9,0
v474_1,0
v474a_1,0
v474b_1,0
v474c_1,0
v474d_1,0
v474e_1,0
v474z_1,0
hc68_2_0,0
v327_7,0
hml12_01_0,0
hv232y_0,0
hml7_1_12,1
hml20_0,1
v139_11,0
m57o_1_1,0
v414v_1,0
h10_1_1,0
d118a_1,0
ha50_3_2,0
ha60_2_2,0
ha63_1_1,0
hb65_2_1,1
hb63_1_1,1
hb63_1_3,0
hb68_1_1,0
hb68_2_1,0
hml20_01_0,1
m5_2,0
hml16_12,0
ha6_03,0
ha12_03,0
ha12a_03,0
ha40_03,0
ha12b_03,0
ha41_03,0
ha56_03,0
v452c_1,0
b15_04_1,0
v304_15_1,0
v3a08o_1,0
m47_1_1,0
v467e_2,1
h32z_1_1,0
hw55_2_0,0
hv102_12_1,0
hv103_12_1,0
hv104_12_2,0
hv109_12_0,0
hv117_12_1,0
hv118_12_1,0
hml19_11_1,0
ha50_03_2,0
hw5_1,0
hb32_03,0
v121_9,0
v122_9,0
v123_9,0
v124_9,0
v125_9,0
v153_9,0
v160_9,1
hv237z_0,0
sh110j_1,0
sh110k_1,0
v501_3,0
v307_13_1,0
v307_17_1,0
v3a00j_9,0
v3a00x_9,0
v3a00t_1,0
v3a08r_9,0
m2g_1_9,0
m2k_1_9,0
m2d_1_1,0
v401_9,0
m49b_1_9,0
m55e_1_9,0
h6_1_2,0
h42_1_1,0
v626_6,1
v626a_9,0
v714a_9,0
v762bt_1,0
v784b_9,0
v784k_9,0
sh17a_02_1,0
sh17a_05_1,0
sh17a_06_1,0
sh17a_07_1,0
hv116_01_2,0
hv122_02_9,0
hv122_03_9,0
hv122_04_9,0
sh19a_03_1,0
sh19a_04_1,0
sh19a_05_1,0
sh19a_06_1,0
ha13_1_0,0
ha13_2_0,0
ha5_3,0
ha6_3,0
ha12_3,0
ha12a_3,0
ha40_3,0
ha12b_3,0
ha41_3,0
ha56_1,0
ha56_2,0
hc70_2,0
v481a_1,0
