nodes.male,keep
sh03_99,0
shm55_9,0
hml17_01_0,0
shregion_1,0
shregion_2,0
shregion_3,0
shregion_4,0
shregion_5,0
shregion_6,0
shregion_7,0
shregion_9,0
shregion_10,0
shregion_11,0
shregion_12,0
shregion_13,0
shregion_14,0
shregion_15,0
shregion_16,0
shregion_17,0
shregion_18,0
shregion_19,0
shregion_20,0
shregion_21,0
hv226_99,0
sh105i_9,0
sh105l_9,0
sh108_d_9,0
hb65_01_2,0
shnprovin_6,0
shnprovin_7,0
shnprovin_9,0
shnprovin_8,0
shnprovin_10,0
shnprovin_25,0
shnprovin_22,0
shnprovin_23,0
shnprovin_24,0
shnprovin_16,0
shnprovin_17,0
shnprovin_18,0
shnprovin_19,0
shnprovin_15,0
shnprovin_1,0
sharrond,0
shreg_1,0
shreg_2,0
shurbrur_1,0
sh104h_9,0
shintcg,0
sh03_01_3,0
sh13_01,0
sh26_9,0
sh31b_9,0
sh41c_9,0
sh41e_9,0
sh32_1,0
sh32_4,0
sh32_5,0
sh32_7,0
sh32_8,0
sh32_11,0
sh32_12,0
sh32_96,0
sh32_99,0
sh27b_9,1
sh27c_9,0
sh27d_9,0
sh27e_9,0
sh27f_9,0
sh27x_9,0
sh27e_0,0
sh27f_0,0
sh31k_9,0
sh39c_9,0
sh39d_9,0
sh44_9,0
sh14_9,0
hv023_20,1
hv023_21,0
hv023_22,1
hv023_23,0
shlangr_3,0
hv202_99,0
hb55,0
hv026_1,0
hv026_4,0
sh118e_9,0
sh16_0,0
sh17a_4,0
sh19a_4,0
sh16_01_0,0
sh17a_01_4,0
sh19a_01_4,0
hv031_152,0
hv031_142,0
sh28e_9,0
shlangi_4,0
shlangi_5,0
shlangi_6,1
hv126_01_1,0
sh106a4_1,0
shlani_3,0
shlanr_6,0
sheduc_01_1,0
sh50,0
sh52,0
sv63,0
sh58,0
sh59_9,0
shregnat_5,0
sv64_1,0
sv64_2,0
sh57_0,0
shregnew_1,0
hv110_9,0
sh18a_9,0
sh20a_9,0
sh18a_01_9,0
sh20a_01_9,0
sh15a_0,0
shedm_0,0
sh15a_1,0
sh15a_3,0
sh15a_9,0
sh18a_0,0
sh20a_0,0
sh20a_1,0
sh20a_3,0
sh20a_5,0
sh15a_01_0,0
shedm_01_0,0
sh15a_01_1,0
sh15a_01_3,0
sh15a_01_9,0
shedm_01_1,0
shedm_01_2,0
shedm_01_4,0
sh18a_01_0,0
sh20a_01_0,0
sh20a_01_3,0
sh20a_01_5,0
shbsprov_2,0
shbsprov_4,0
shbsprov_7,0
shbsprov_1,0
shbsprov_3,0
shbsprov_6,0
shbsprov_8,0
shbsprov_5,0
sh121b_1,1
sh24a_0,0
sh24a_1,0
sh24a_3,0
sh24a_9,0
hb66_5,0
sh24a_01_0,0
sh24a_01_1,0
sh24a_01_3,0
sh24a_01_9,0
sh51,0
sh63w,0
sh63w_01,0
sh54,0
shhivage,0
shhivage_01,0
shecozn_1,0
shecozn_2,0
shecozn_3,0
shecozn_4,0
sh03_12,0
sh04_1,0
shres_01_0,0
sh04_01_1,0
shres_01_1,0
sh127r_1,0
sh127r_2,0
sh127r_3,0
sh127r_4,0
sh127r_5,0
sh127r_6,0
sh127r_7,0
sh127r_9,0
sh127r_10,0
sh19aa_3,0
sh19aa_1,0
sh19aa_2,0
hb68_6,0
hb52_1_2,0
hb65_1_7,1
sh19aa_01_1,0
sh19aa_01_2,0
sh21a_01_3,0
hb61_1_1,0
hb61_1_5,0
hb70_1,0
hv237a_0,0
srecent_2,0
srecent_3,0
sh19aa_01_9,0
shresid_4,0
sh110g_9,0
hv252_9,0
sh119e_9,0
sh17aa_0,0
sh17aa_1,0
sh17a_2,0
sh17aa_2,0
sh17a_3,0
sh17aa_9,0
sh19aa_9,0
sh022_0,0
sh022_1,0
sh17aa_01_0,0
sh17aa_01_1,0
sh17a_01_2,0
sh17a_01_3,0
sh19a_01_2,0
sh022_01_0,0
sh022_01_1,0
hb61_1_6,0
shdist_11,0
shdist_6,0
shdist2_205,0
shdist_3,0
shdist2_302,0
shdist_10,0
shdist2_308,0
shdist_7,0
shdist2_307,0
shdist_2,0
shdist2_201,0
shdist_8,0
shdist2_303,0
shdist_4,0
shdist2_301,0
shdist_5,0
shdist2_105,0
shdist_1,0
shdist2_305,0
shdist_9,0
shdist2_206,0
sh27e_1,0
hv125_01,0
shlquest_2,0
hv045c_3,0
hv215_21,0
hb70_01,0
sh106az_0,0
hv215_24,0
sh104i_9,0
hv117_01_0,0
sh13_01_0,0
hv101_01_10,0
hv024_8,1
shlangua_6,0
shlangua_5,0
sh21_11,0
sh21_12,0
sh21_13,0
sh21_23,0
sh21_41,0
sh21_71,0
sh21_96,0
sh28c_0,0
sh28c_1,0
hb63_01_9,0
sh48,0
hv030_81,0
hv031_82,0
hv030_101,0
hv031_102,0
hv031_12,1
hv031_22,1
hv031_32,1
hv031_42,1
hv031_52,1
hv031_62,1
hv031_72,1
hv031_92,1
hv031_112,1
hv031_122,1
hv031_132,1
sh35_1,0
sh35_2,0
sh35_3,0
sh35_4,0
sh35_5,0
sh35_9,0
sh07a_6,0
sh07a_1,0
sh07a_2,0
sh07a_5,0
sh07a_3,0
sh07a_4,0
sh07a_9,0
hv126_1,0
sh07a_01_6,0
sh07a_01_1,0
sh07a_01_2,0
sh07a_01_5,0
sh07a_01_3,0
sh07a_01_4,0
sh07a_01_9,0
sh59_01_3,1
hv246g,0
hb41_1,0
hv217_0,1
sh106a_9,0
sh118f_9,0
sh109ab_9,0
sh109ac_9,0
sheligdvm_1,0
sheligdvm_0,0
hb13_6,0
shdistr_7,0
sh111e_9,0
sh111f_9,0
sh111g_9,0
sh121f_9,0
sh23_2,0
sh04a_01_23,0
sh04a_01_94,0
hb64_01_1,0
hb64_01_9,0
sh543b_3,0
sh23_01_2,0
hb61_01_9,0
sh543b_01_3,0
hb55_01_0,0
sh539a_01_1,0
sh543b_01_0,0
sh539a_01_3,0
sh539a_01_9,0
sh543b_01_4,0
sh543b_01_6,0
hb55_6,0
sh111a_1,0
hv215_96,0
hv234a_1,1
hv234a_6,1
hv234a_3,0
hv246f,0
hv246h,0
hv246i,0
hv246c_99,0
hb56_1,0
hb57_1_9,0
shdistr_42,0
shcounci_1,0
sh138_1,0
sh138_2,0
sh138_3,0
sh138_6,0
sh138_4,0
sh138_9,0
hv237x_0,1
sh23_0,0
sh23_9,0
hb55_1_6,0
sh23_01_0,0
hb63_1_4,1
sh102_11,0
sh102_12,0
sh102_13,0
sh102_21,0
sh102_31,0
sh102_32,0
sh102_41,0
sh102_42,0
sh102_81,0
sh102_51,0
sh102_61,0
sh102_71,0
sh102_92,0
sh102_96,0
sh102_99,0
hv102_9,0
hv237e_0,0
sh123ac_9,0
sh123ad_9,0
sh123ae_9,0
sh123af_9,0
sh123ag_9,0
hb63_01_6,1
hv244_9,0
hv246_9,0
hv247_9,0
sh121e_9,0
hv030_66,0
hb50_01_7,0
hb61_01_7,0
hb63_01_7,0
sh108a_1,0
sheduc_0,0
sheduc_3,0
sheduc_9,0
sheduc_1,0
sheduc_2,0
sheduc_01_3,0
sheduc_01_9,0
sheduc_01_2,0
hb68_1_4,0
hv244_8,0
sh100_11,0
sh100_12,0
sh100_13,0
sh100_33,0
sh100_23,0
sh100_41,0
sh100_42,0
sh100_51,0
sh100_61,0
