nodes.male,keep
hc27_2_2,0
hv129_0,0
v481_1,0
v751_0,0
mv304_01_1,0
mv304_02_1,0
mv304_03_1,0
mv304_06_1,0
mv304_07_1,0
mv304_08_1,0
mv304_09_1,0
mv304_11_1,0
mv304_14_1,0
mv304_16_1,0
mv463z_1,0
mv744b_1,0
hv121_10_2,0
ha50_2_2,0
hml8_1_2,0
hml19_09_0,0
hml19_10_1,0
v762ad_1,0
v762ao_1,1
hv109_11_0,0
hv109_11_3,0
hv109_03_1,0
hv111_10_1,0
hml3_3_1,0
hml10_3_1,0
ha5_1,0
ha6_1,0
ha5_2,0
ha6_2,0
ha12_1,0
ha12a_1,0
ha40_1,0
ha12_2,0
ha12a_2,0
ha40_2,0
ha12b_1,0
ha41_1,0
ha12b_2,0
ha41_2,0
v762al_1,0
v762am_1,0
hv121_0,1
hv243d_1,0
v150_11,0
hv125_1,0
hv126_0,0
hml3_1_0,1
v784c_1,0
v784x_1,0
mv249_1,0
mv304_05_1,0
mv304_10_1,0
mv307_01_1,0
mv307_03_1,0
mv307_08_1,0
mv483_1,0
mv744a_1,0
mv744c_1,0
hv129_02_0,0
hv129_03_0,0
hv129_04_0,0
hv129_05_0,0
hv129_06_0,0
hv129_07_0,0
hv109_10_1,0
hml19_01_0,0
hml12_03_1,0
hml12_08_1,0
v026_3,0
hv109_3,0
v775_1,0
hv102_11_1,0
hv103_11_1,0
hv104_11_2,0
hv117_11_1,0
hv118_11_1,0
hml7_3_98,0
hml21_3_1,0
hv007,0
hv242_1,0
v463b_1,0
v026_0,0
mv107,0
hv232_1,0
v784e_1,0
v784l_1,0
mv301_3,0
mv307_05_1,0
hv129_08_0,0
hv125_02_1,0
hv126_02_0,0
hv125_03_1,0
hv125_04_1,0
hv125_05_1,0
hv125_06_1,0
hv125_07_1,0
hv125_08_1,0
ha50_1_2,0
ha68_2_0,0
hml8_2_2,0
hml12_04_1,0
hml12_06_1,0
hml12_07_1,0
hml17_04_1,0
hml16_11,0
hv026_3,0
hv113_10_1,0
hv237c_1,0
hml17_3,0
hc73_1,0
hc73_2,0
hv237f_1,0
v761_0,0
v762ba_1,0
v778_1,0
v820_1,0
v784n_1,0
hc0_2,0
hc15_1_2,0
hc15_2_2,0
v536_4,1
ha32_3,0
mv106_3,0
mv106_0,0
hml7_1_11,0
v784d_1,0
v784m_1,1
mv304_13_1,0
mv307_06_1,0
mv307_14_1,0
mv731_0,0
hv126_03_0,0
hv125_09_1,0
ha63_1_3,0
hml17_09_1,0
v010,0
v536_0,1
ha32_01,0
ha32_02,0
v106_0,0
v304_01_1,0
v304_02_1,0
v304_03_1,0
v304_05_1,0
v304_06_1,0
v304_07_1,0
v304_08_1,0
v304_09_1,0
mv168_1,0
hb56,0
v766b,0
hb66_0,0
hv109_03_9,0
hv109_04_9,0
hv109_08_9,0
hml12_05_1,0
hc56_1,0
v762at_1,0
v481b_1,0
v463d_1,0
v762ak_9,0
v762ax_9,0
v762az_9,0
hb32_1,0
hb32_2,0
hv230b_1,0
hv232y_1,0
hml20_1,0
mv313_0,0
mv248_1,0
mv307_11_1,0
hv126_01_0,0
hv126_04_0,0
hv126_05_0,0
hv126_06_0,0
hv126_07_0,0
hv126_08_0,0
ha54_1_1,0
ha54_2_1,0
ha63_2_1,0
ha68_1_0,0
ha68_2_1,0
hml20_03_0,1
hml20_03_1,0
hml17_03_1,0
hml20_01_1,0
hml20_02_1,0
hml20_04_1,0
hml20_05_1,0
hml20_06_1,0
hml20_07_1,0
hml20_08_1,0
ha6_01,0
ha6_02,0
ha12_01,0
ha12a_01,0
ha12b_01,0
ha40_01,0
ha12_02,0
ha12a_02,0
ha40_02,0
ha41_01,0
ha12b_02,0
ha41_02,0
ha56_01,0
ha56_02,0
v301_3,0
v304_11_1,0
v304_14_1,0
v305_05_1,0
v305_09_1,0
hv122_11_0,0
hv122_9,1
hml7_1_16,1
v605_9,0
mv744e_1,0
hv109_05_9,0
hv109_06_9,0
hv116_07_0,0
hml8_3_2,0
v502_3,1
v463c_1,0
v769a_1,0
v762as_9,0
v762au_9,0
hc68_1_0,0
hml4_1,1
hml12_01_0,0
hml10_1_0,0
hml12_01_3,0
mv307_01_0,0
mv307_03_0,0
v605_10,0
mv307_09_1,0
ha63_1_1,0
ha63_2_3,0
ha68_1_1,0
hb50_1_2,0
hb50_2_2,0
hb68_1_0,0
hb68_2_0,0
hml20_02_0,1
hml20_04_0,1
hml20_05_0,1
hml20_06_0,1
hml20_07_0,1
hml20_08_0,1
hml19_10_0,0
v616,0
ha32_03,0
hc31_01,0
hc32_01,0
hc31_02,0
hc32_02,0
hc56_01,0
hc56_02,0
v304_16_1,0
v305_08_1,0
v384a_1,0
v384b_1,0
v384c_1,0
hv109_11_1,0
hv120_11_1,0
ha50_01_2,0
ha50_02_2,0
hb32_01,1
hb32_02,1
sh17a_1,0
hv116_9,0
mv633b_1,0
mv744d_1,0
hv109_01_9,0
hv109_02_9,0
sh17a_03_1,0
sh17a_04_1,0
hv109_09_9,0
hv116_07_1,0
hv122_03_9,0
hc70_2,0
hc71_2,0
hc56_2,0
hc71_1,1
hc72_1,0
hc72_2,0
v762bk_1,0
hv109_07_9,0
v005,0
v510_5,0
v150_5,0
v762av_1,0
v762aj_9,0
v762ao_9,0
v474_1,0
v474b_1,0
v474c_1,0
v474d_1,0
v474e_1,0
hc68_2_0,0
mv133,0
hmlc_1,0
mv034b_1,0
hv232y_0,0
hv232b_1,0
mv106_2,0
hml8_1_0,0
hml20_0,1
v014_2,0
v833a_1,0
hv125_01_1,0
ha65_2_1,0
ha50_3_2,0
ha60_2_2,0
hb65_2_1,0
hb68_1_1,0
hb68_2_1,0
hml20_01_0,1
hml16_12,0
ha5_01,0
ha5_02,0
ha5_03,0
ha6_03,0
ha12_03,0
ha12a_03,0
ha40_03,0
ha12b_03,0
ha41_03,0
ha56_03,0
hv212_9,0
hv213_34,1
v106_3,0
hv102_12_1,0
hv103_12_1,0
hv104_12_2,0
hv109_12_0,0
hv117_12_1,0
hv118_12_1,0
hml19_11_1,0
ha50_03_2,0
hb32_03,1
hv237z_0,0
sh110j_1,0
sh110k_1,0
v784x_9,0
mv307_02_1,0
sh17a_02_1,0
sh17a_05_1,0
sh17a_06_1,0
sh17a_07_1,0
hv109_11_5,0
sh19a_03_1,0
sh19a_04_1,0
sh19a_05_1,0
sh19a_06_1,0
ha11_1,0
ha13_1_0,0
ha13_2_0,0
ha5_3,0
ha6_3,0
ha12_3,0
ha12a_3,0
ha40_3,0
ha12b_3,0
ha41_3,0
ha56_1,0
ha56_2,0
hc3_2,0
v463x_1,0
v481a_1,0
v481x_1,1
v150_3,0
v150_4,0
v762ap_1,0
v762bs_1,0
v784p_1,0
v149_1,0
hv237d_1,0
v762af_9,0
hc8_1,0
hc8_2,0
hc11_1,0
hc11_2,0
v605_1,1
v605_2,1
v149_4,0
hml7_1_12,1
mv307_05_0,0
v784f_1,0
mv313_3,0
mv714a_0,0
mv714a_1,0
hv111_02_1,0
ha65_1_1,0
ha68_3_0,0
hb65_1_1,0
hb63_1_3,0
hb63_2_1,0
hml12_09_1,0
hml17_10_1,0
hc17_01,0
hc17_02,0
hc6_01,0
hc6_02,0
hc9_01,0
hc9_02,0
hc12_01,0
hc12_02,0
hc18_02,0
v106_1,0
hv125_0,0
v305_05_0,0
v502_1,0
v605_6,0
hv126_09_0,0
hv101_01_1,0
hv237z_8,0
hml17_1,0
sh17a_01_1,0
hv116_01_9,0
hv116_04_9,0
hv122_02_9,0
hv122_04_9,0
hv121_11_2,0
sh19a_07_1,0
ha3_1,0
ha3_2,0
hc3_1,0
sh110i_1,0
v022,0
v150_2,0
v501_1,0
mv313_1,1
v762ag_1,0
v762bx_1,0
v784o_1,0
v762ab_9,0
v474x_1,0
hc13_1_0,0
hc68_1_1,0
hc68_2_1,0
hv128_08,0
v024_11,0
hv113_02_1,0
ha68_1_2,0
ha68_2_2,1
ha68_3_1,0
hb63_1_1,1
hml20_09_0,1
hml20_09_1,0
hml12_10_1,0
hc18_01,0
hv123_03,0
