name,gender,beta,se,zval,pvalue,tau2,H2,k,I2,QE,QEp,mean_r2,num_surveys,category,var,var_lbl,lvl_lbl
b15_01_9,f,-2.95065503200627,1.534556916985397,-1.9228058596893012,0.054504435925443996,41.77041983017955,135.518847854878,18,99.26209526141272,2303.820413532926,0,3.8354971214790343e-4,"(10,50]",NA,NA,NA,NA
b15_02_9,f,-7.11138800956116,1.2064262906979484,-5.894589718736186,3.756134713999543e-9,27.15206340801074,104.1718520134113,19,99.04004778577685,1875.0933362414034,0,2.5824130572319674e-4,"(10,50]",NA,NA,NA,NA
b15_03_9,f,-7.6700042117830884,1.1310980632999907,-6.781024970908153,1.1932624816278636e-11,22.499485654808268,92.71691477020096,18,98.92144814947898,1576.1875510934165,0,4.968748527282824e-4,"(10,50]",NA,NA,NA,NA
b15_04_9,f,-7.212676058528004,1.3134936602003582,-5.491214976574606,3.9917811393948846e-8,27.104261419891436,100.98074243050829,16,99.00971217290449,1514.7111364576242,3.401812231e-314,4.722069700398015e-4,"(10,50]",NA,NA,NA,NA
b15_05_9,f,-10.567257897114239,0.9856209247413318,-10.721422031383444,8.07521266823792e-27,7.249844909837427,18.609731923012,8,94.62646746263205,130.268123461084,5.524719847881244e-25,3.222065205362586e-4,"(3,10]",NA,NA,NA,NA
chl1_01_9,m,-13.0029547773099,0.293665479743266,-44.278118043283804,0,0,1,1,0,0,1,1.39724313667711e-4,"(0,1]",NA,NA,NA,NA
chl1_01_9,f,-13.5705024354925,0.314447102814172,-43.15671002862515,0,0,1,1,0,0,1,3.02035320450589e-4,"(0,1]",NA,NA,NA,NA
chl1_02_9,m,-13.104636545464604,0.29164251973078303,-44.93390249666466,0,0,1,1,0,0,1,1.57185363479306e-4,"(0,1]",NA,NA,NA,NA
chl1_02_9,f,-12.498142443098399,0.273528330740364,-45.69231424499778,0,0,1,1,0,0,1,2.32244190028541e-4,"(0,1]",NA,NA,NA,NA
chl1_03_9,m,-12.982884164861298,0.41809611953641096,-31.052390965160946,1.0591436816455578e-211,0,1,1,0,0,1,2.20685255711395e-4,"(0,1]",NA,NA,NA,NA
chl1_03_9,f,-13.4944937533118,0.338209071451951,-39.899857491637235,0,0,1,1,0,0,1,4.53849017202912e-4,"(0,1]",NA,NA,NA,NA
chl1_04_9,m,-12.9594593059064,0.520396475284611,-24.903049734952024,6.895210419244231e-137,0,1,1,0,0,1,1.43998940010048e-4,"(0,1]",NA,NA,NA,NA
chl1_04_9,f,-14.452439040294099,0.48984157773060194,-29.504312613174097,2.5346310897165406e-191,0,1,1,0,0,1,5.99151575856105e-4,"(0,1]",NA,NA,NA,NA
chl5_01_9,m,-13.0538009607365,0.270116091943804,-48.3266319559083,0,0,1,1,0,0,1,1.88859620083526e-4,"(0,1]",NA,NA,NA,NA
chl5_01_9,f,-1.14654618330851,1.0337027693206,-1.1091642755896611,0.26735932082238123,0,1,1,0,0,1,1.17286281227313e-4,"(0,1]",NA,NA,NA,NA
chl5_02_9,m,-13.1917861694875,0.319256601925107,-41.320323808314235,0,0,1,1,0,0,1,2.57836219954122e-4,"(0,1]",NA,NA,NA,NA
