nodes,removeVar
hv234a_9,1
hv237_0,0
hv237_1,0
hv237_8,0
hv237_9,1
hv237a_0,1
hv237a_1,1
hv237a_8,0
hv237a_9,1
hv237b_8,0
hv237b_9,1
hv237c_0,1
hv237c_1,1
hv237c_8,0
hv237c_9,1
hv237d_0,0
hv237d_8,0
hv237d_9,1
hv237e_0,1
hv237e_8,0
hv237e_9,1
hv237f_0,0
hv237f_8,0
hv237f_9,1
hv237g_9,1
hv237x_0,1
hv237x_8,0
hv237x_9,1
hv237z_0,1
hv237z_1,1
hv237z_9,1
hv243a_9,1
hv243b_9,1
hv243c_9,1
hv243d_9,1
hv244_8,1
hv244_9,1
hv246_9,1
hv246b,0
hv246c,0
hv246c_99,1
hv246e,0
hv246f,0
hv246g,1
hv246h,1
hv246i,1
hv247_9,1
hv253_0,0
hv253_1,0
hv253_9,0
hv253a_0,1
hv253a_1,1
hv253a_9,1
hv253b_0,0
hv253b_9,1
hv253c_0,0
hv253c_9,1
hv253x_0,1
hv253x_9,1
hv253z_0,1
hv253z_9,1
hv270_1,0
hv270_2,0
hv270_3,0
hv270_4,0
hv270_5,0
hv271,0
hv801,0
hv802,1
hv807a,1
hv807c,1
idxh4,1
s121g_0,1
s121g_1,1
s121g_7,1
s121h_0,1
s121h_1,1
s121h_7,1
s121i_0,1
s121i_1,1
s121i_7,1
s121j_0,1
s121j_7,1
s121k_0,1
s121k_7,1
s121l_0,1
s121l_1,1
s121l_7,1
s121m_0,1
s121m_1,1
s121m_7,1
s121n_0,1
s121n_1,1
s121n_7,1
s121o_1,1
s121o_7,1
s121p_1,1
s121p_7,1
s121q_0,1
s121q_1,1
s121q_7,1
s121r_0,1
s121r_7,1
scweight,0
sh021_0,0
sh021_01_0,0
sh021_01_1,0
sh021_1,0
sh022_0,1
sh022_01_0,1
sh022_01_1,1
sh022_1,1
sh03_01_1,1
sh03_01_2,1
sh03_01_3,1
sh03_01_4,1
sh03_1,1
sh03_12,1
sh03_2,1
sh03_3,1
sh03_4,1
sh03_5,1
sh03_6,1
sh03_7,1
sh03_9,1
sh03_98,1
sh03_99,1
sh04_01_1,1
sh04_1,1
sh04a_01_94,1
sh04a_94,0
sh07a_01_1,1
sh07a_01_2,1
sh07a_01_3,1
sh07a_01_4,1
sh07a_01_5,1
sh07a_01_6,1
sh07a_01_9,1
sh07a_1,1
sh07a_2,1
sh07a_3,1
sh07a_4,1
sh07a_5,1
sh07a_6,1
sh07a_9,1
sh100_11,1
sh100_12,1
sh100_13,1
sh100_23,1
sh100_33,1
sh100_41,1
sh100_42,1
sh100_51,1
sh100_61,1
sh100_71,1
sh100_96,1
sh101_11,1
sh101_12,1
sh101_13,1
sh101_91,1
sh101_93,1
sh101_96,1
sh101_99,1
sh102_1,1
sh102_11,1
sh102_12,1
sh102_13,1
sh102_2,1
sh102_21,1
sh102_31,1
sh102_32,1
sh102_4,1
sh102_41,1
sh102_42,1
sh102_51,1
sh102_61,1
sh102_7,1
sh102_71,1
sh102_8,1
sh102_81,1
sh102_92,1
sh102_96,1
sh102_99,1
sh104g_9,0
sh104h_9,1
sh104i_9,1
sh105_0,1
sh105_8,1
sh105l_9,1
sh106a4_1,1
sh106az_0,1
sh106az_1,1
sh108_d_9,1
sh108a_1,1
sh108ca_9,0
sh108cb_9,1
sh108cc_9,1
sh108cd_9,1
sh108ce_9,1
sh108cf_9,1
sh108ch_9,1
sh108cx_9,1
sh109aa_9,0
sh109ab_9,1
sh109ac_9,1
sh11,0
sh110g_9,1
